"","logFC","AveExpr","t","P.Value","adj.P.Val","B","hu_gene_name"
"201176_s_at",-0.0608619811978452,10.034057414344,-1.37940247094344,0.189370404505047,0.608582212950074,-5.16004730615764,"ARCN1"
"219891_at",0.101085603344117,4.31826221955168,1.37850939182906,0.189639725019934,0.609334198424707,-5.16113939449287,"PGPEP1"
"212199_at",0.0739369473003092,9.03337502585093,1.37805095870212,0.18977809350878,0.60966521826028,-5.16169977731608,"MRFAP1L1"
"202697_at",0.0663225424927264,9.70137916001795,1.37784656660238,0.189839811596237,0.609749920002216,-5.16194957873205,"NUDT21"
"218337_at",0.0826422444722375,6.59036204818358,1.37755980401866,0.189926429864678,0.609914552654248,-5.16230000401558,"FAM160B2"
"212530_at",-0.0728453100594259,11.3755210137496,-1.37717802909626,0.190041797267608,0.610171429499572,-5.16276645024624,"NEK7"
"215101_s_at",0.0757315252047879,3.43627655709674,1.37689882701733,0.190126204741177,0.610328825493358,-5.16310751350801,"CXCL5"
"215318_at",-0.114012316795127,4.95840381296548,-1.37653442577232,0.19023641542758,0.610568979027706,-5.16355257525329,NA
"212764_at",-0.0610525754030147,9.39694760207088,-1.37612920011284,0.190359034467229,0.610848860742469,-5.164047394494,"ZEB1"
"208248_x_at",-0.0779998825051174,8.74564326010955,-1.37578229968341,0.190464055901385,0.611072179350276,-5.16447090650334,"APLP2"
"218516_s_at",-0.0871690851108019,7.47198855347069,-1.37550175724,0.190549022575046,0.611196036863605,-5.16481334722363,"BPNT2"
"221538_s_at",-0.0682955726252924,8.0093002384098,-1.37536244223003,0.190591227810804,0.611196036863605,-5.1649833809844,"PLXNA1"
"220914_at",0.12056352523807,3.76518179613751,1.37530389084111,0.19060896812902,0.611196036863605,-5.16505483902172,"CU633906.5"
"202318_s_at",-0.071900185352381,8.25933008747139,-1.3750117636306,0.190697499069134,0.611262950747938,-5.16541132665698,"SENP6"
"218697_at",0.056384732441062,7.11535946123498,1.37496438148295,0.190711861683688,0.611262950747938,-5.16546914253036,"NCKIPSD"
"203978_at",0.069512448036366,7.75724197953172,1.37488424476254,0.190736154970165,0.611262950747938,-5.16556692226316,"NUBP1"
"205646_s_at",0.126752176478647,3.58221269306369,1.37468963954551,0.19079515967211,0.611338456998802,-5.16580435428598,"PAX6"
"200698_at",-0.0755523501764442,8.3269345983154,-1.37385723348511,0.191047715150732,0.612005080614719,-5.16681966421102,"KDELR2"
"213898_at",0.0806100361241331,3.50358561030519,1.37377007774092,0.191074174345447,0.612005080614719,-5.16692594399113,NA
"210783_x_at",0.0647975661581923,5.64945488846218,1.37358358940383,0.191130799494957,0.612064050799977,-5.16715333533515,"CLEC11A"
"216118_at",0.0667919149476422,3.64437650402751,1.37347572495814,0.191163557610127,0.612064050799977,-5.16728484744129,NA
"209268_at",0.0666320746646199,7.92650743367737,1.37310903100574,0.191274955761644,0.612307059572538,-5.16773187571182,"VPS45"
"221654_s_at",-0.0565858629852802,9.29230045013185,-1.3728223343979,0.191362088380959,0.612421351366226,-5.16808131877833,"USP3"
"210679_x_at",0.0839148585119828,6.54073916142159,1.37275672639568,0.191382032470446,0.612421351366226,-5.16816127807372,"AC069503.1"
"216100_s_at",0.121725825348569,6.21004877125056,1.37261641821245,0.191424690262278,0.612421351366226,-5.16833226808943,"TOR1AIP1"
"203076_s_at",-0.055454164242753,9.70085369601828,-1.37247858720114,0.191466602476685,0.612421351366226,-5.1685002264935,"SMAD2"
"207851_s_at",0.0754017515464788,3.31112847779598,1.3723629385444,0.191501775168391,0.612421351366226,-5.16864114413055,"INSR"
"211450_s_at",-0.0938962987597376,8.54872076208614,-1.37223856743877,0.191539606537858,0.612421351366226,-5.16879268012665,"MSH6"
"216094_at",-0.12156957887475,3.89402626759382,-1.37210348262941,0.191580703725395,0.612421351366226,-5.16895725823748,NA
"206814_at",-0.0683529472728715,3.36938451336109,-1.37184536467597,0.191659251602758,0.612421351366226,-5.16927169777918,"NGF"
"217688_at",-0.0851077558230871,3.96501401791373,-1.37159353646366,0.19173591077212,0.612421351366226,-5.16957843243792,NA
"202721_s_at",-0.0741818729196199,8.15886762083611,-1.37140388342908,0.191793659673669,0.612421351366226,-5.16980940792728,"GFPT1"
"216123_x_at",0.0821911630302379,4.26134665993569,1.37134293228536,0.191812222166048,0.612421351366226,-5.16988363429805,NA
"222333_at",-0.1845056255443,4.72119552120669,-1.37133272447148,0.191815331069167,0.612421351366226,-5.16989606514349,"ALS2CL"
"204042_at",-0.0913029505897701,7.5151802200448,-1.37112105096706,0.191879807851901,0.612421351366226,-5.17015382073422,"WASF3"
"209103_s_at",0.0519677909437993,11.2321933249587,1.37103507999606,0.191906000077796,0.612421351366226,-5.17025849938121,"UFD1"
"203096_s_at",0.142479675842103,6.5798615835255,1.37100178667433,0.191916144124649,0.612421351366226,-5.17029903616047,"RAPGEF2"
